Airtime,Carrier,Carrier_Delay,Day_of_week,Delay_Minutes,Dest,Distance,Date,Flight_Num,Late_Aircraft_Delay,NAS_Delay,Origin,Security_Delay,Tailnum,Weather_Delay,Temp,Dewpoint,Fog,Hail,Precip,Rain,Pressure,Snow,Thunder,Tornado,Visibility,Windspeed,Dep_hour
53.0,MQ,,5,-3.0,CRP,354.0,2012-06-22,2774,,,DFW,,N603MQ,,35.6,17.2,0.0,0.0,0.0,0.0,101.13,0.0,0.0,0.0,10.0,,21
195.0,AA,,4,-3.0,STL,1592.0,2012-08-09,818,,,LAX,,N4YHAA,,20.0,16.7,0.0,0.0,0.0,0.0,101.06,0.0,0.0,0.0,10.0,0.0,12
66.0,US,,1,-1.0,TPA,507.0,2012-07-23,1021,,,CLT,,N102UW,,23.9,21.1,0.0,0.0,0.0,0.0,102.17,0.0,0.0,0.0,10.0,2.1,11
132.0,AA,,4,-1.0,DTW,986.0,2012-05-17,2312,,,DFW,,N498AA,,31.700000000000006,10.6,0.0,0.0,0.0,0.0,101.23,0.0,0.0,0.0,10.0,4.6000000000000005,21
187.0,UA,,1,19.0,PHX,1440.0,2012-03-19,393,,,ORD,,N461UA,,16.7,14.4,0.0,0.0,0.0,1.0,101.52,0.0,0.0,0.0,9.9,2.6,12
57.0,WN,0.0,4,38.0,LAX,337.0,2012-10-11,1990,36.0,0.0,SFO,0.0,N213WN,0.0,13.9,9.4,0.0,0.0,0.0,1.0,101.32,0.0,0.0,0.0,9.9,1.5,12
37.0,DL,,4,3.0,ECP,240.0,2012-11-08,1470,,,ATL,,N762NC,,7.800000000000002,5.0,0.0,0.0,0.0,0.0,102.25,0.0,0.0,0.0,8.5,3.1,15
64.0,FL,0.0,7,63.0,CAK,397.0,2012-02-19,718,49.0,0.0,LGA,0.0,N932AT,0.0,6.1000000000000005,-8.3,0.0,0.0,0.0,1.0,101.54,0.0,0.0,0.0,10.0,0.0,21
203.0,AA,,3,-5.0,SFO,1464.0,2012-01-11,1381,,,DFW,,N3CPAA,,5.0,2.8000000000000003,0.0,0.0,0.0,0.0,100.72,0.0,0.0,0.0,10.0,3.1,15
68.0,DL,,6,-5.0,EWR,488.0,2012-11-10,2092,,,DTW,,N357NW,,9.4,6.1000000000000005,0.0,0.0,0.0,1.0,102.07,0.0,0.0,0.0,7.4,2.6,10
41.0,AA,,5,4.0,IAH,224.0,2012-05-11,1599,,,DFW,,N515AA,,18.3,17.2,0.0,0.0,3.0,1.0,100.73,0.0,0.0,0.0,9.1,7.7,9
112.0,AA,0.0,6,81.0,ORD,888.0,2012-09-29,550,73.0,0.0,DEN,0.0,N4XHAA,0.0,16.7,5.6000000000000005,0.0,0.0,0.0,0.0,101.77,0.0,0.0,0.0,10.0,1.5,16
232.0,AA,,4,4.0,SAN,1723.0,2012-02-16,1323,,,ORD,,N3APAA,,7.2,-1.7000000000000002,0.0,0.0,0.0,1.0,101.77,0.0,0.0,0.0,5.7,7.7,20
42.0,DL,,2,-6.0,CHS,259.0,2012-06-19,2366,,,ATL,,N306DQ,,30.6,13.3,0.0,0.0,0.0,0.0,101.92,0.0,0.0,0.0,10.0,4.6000000000000005,22
156.0,MQ,,3,-7.0,XNA,1147.0,2012-06-20,4525,,,LGA,,N713MQ,,33.300000000000004,21.1,0.0,0.0,0.0,0.0,101.68,0.0,0.0,0.0,9.1,1.5,16
169.0,OO,,7,-2.0,SAT,1482.0,2012-02-12,6267,,,SFO,,N788SK,,8.9,6.7,0.0,0.0,0.0,0.0,101.76,0.0,0.0,0.0,10.0,3.1,13
278.0,US,,3,3.0,CLT,2296.0,2012-06-27,1538,,,SFO,,N195UW,,11.7,8.3,0.0,0.0,0.0,0.0,101.25,0.0,0.0,0.0,10.0,1.5,13
172.0,WN,,3,6.0,MKE,1524.0,2012-12-05,688,,,LAS,,N767SW,,10.0,5.0,0.0,0.0,0.0,0.0,101.84,0.0,0.0,0.0,10.0,3.6,13
,US,,2,,IAH,1325.0,2012-10-30,1825,,,PHL,,,,8.9,4.4,0.0,0.0,-1.0,1.0,99.37,0.0,0.0,0.0,7.4,7.2,18
131.0,AS,,3,-3.0,DEN,1024.0,2012-09-19,678,,,SEA,,N613AS,,11.7,11.1,1.0,0.0,0.0,0.0,102.13,0.0,0.0,0.0,6.0,1.5,12
131.0,WN,,6,4.0,ISP,971.0,2012-07-28,1939,,,MCO,,N717SA,,33.9,19.4,0.0,0.0,0.0,0.0,101.78,0.0,0.0,0.0,10.0,2.6,19
53.0,MQ,,1,4.0,LCH,295.0,2012-07-30,2948,,,DFW,,N712MQ,,27.8,18.9,0.0,0.0,0.0,0.0,101.44,0.0,0.0,0.0,10.0,3.6,12
130.0,WN,,4,-1.0,HOU,1020.0,2012-07-26,1609,,,PHX,,N8305E,,32.800000000000004,8.3,0.0,0.0,0.0,0.0,100.73,0.0,0.0,0.0,10.0,3.6,11
128.0,WN,,7,-1.0,SAT,1041.0,2012-08-05,1474,,,MCO,,N240WN,,26.700000000000006,24.4,0.0,0.0,0.0,1.0,101.9,0.0,1.0,0.0,10.0,4.1000000000000005,13
71.0,MQ,,7,-1.0,CLE,425.0,2012-01-22,4172,,,JFK,,N909MQ,,-4.4,-8.3,0.0,0.0,0.0,0.0,103.43,0.0,0.0,0.0,10.0,5.1000000000000005,15
41.0,OO,,1,1.0,GJT,212.0,2012-12-31,6245,,,DEN,,N930SW,,-10.0,-14.4,0.0,0.0,0.0,0.0,101.66,0.0,0.0,0.0,9.9,3.6,8
167.0,US,,4,-13.0,PHL,1303.0,2012-03-22,1268,,,DFW,,N952UW,,8.9,8.3,0.0,0.0,0.0,1.0,100.92,0.0,0.0,0.0,9.8,3.1,11
30.0,OO,,4,-6.0,YUM,160.0,2012-01-19,2983,,,PHX,,N906SW,,6.7,2.2,0.0,0.0,0.0,0.0,101.91,0.0,0.0,0.0,10.0,4.1000000000000005,14
40.0,WN,,1,17.0,SAN,258.0,2012-11-26,4384,,,LAS,,N915WN,,20.0,-6.7,0.0,0.0,0.0,0.0,101.69,0.0,0.0,0.0,10.0,1.5,21
47.0,OO,,4,-6.0,DSM,299.0,2012-02-09,6309,,,ORD,,N773SK,,-3.9,-7.800000000000002,0.0,0.0,0.0,0.0,102.66,0.0,0.0,0.0,9.6,3.6,6
69.0,UA,7.0,1,7.0,LAS,414.0,2012-10-08,1742,0.0,37.0,SFO,0.0,N76504,0.0,11.7,8.3,0.0,0.0,0.0,0.0,101.62,0.0,0.0,0.0,10.0,2.6,13
28.0,EV,45.0,1,49.0,MSN,108.0,2012-10-08,5929,0.0,0.0,ORD,0.0,N15983,0.0,1.7000000000000002,-3.9,0.0,0.0,0.0,0.0,102.09,0.0,0.0,0.0,10.0,2.1,7
46.0,WN,,4,-7.0,MKE,297.0,2012-11-29,192,,,MSP,,N746SW,,-2.2,-5.0,0.0,0.0,0.0,0.0,101.99,0.0,0.0,0.0,8.8,0.0,14
101.0,UA,,4,2.0,IAD,758.0,2012-09-27,221,,,MCO,,N537UA,,23.9,23.3,0.0,0.0,0.0,1.0,101.85,0.0,1.0,0.0,10.0,1.5,9
135.0,MQ,,4,-6.0,ABQ,1118.0,2012-07-05,3762,,,ORD,,N511MQ,,28.9,20.0,0.0,0.0,0.0,1.0,101.32,0.0,1.0,0.0,10.0,0.0,12
85.0,WN,,1,2.0,SLC,590.0,2012-07-09,336,,,LAX,,N603SW,,17.2,14.4,1.0,0.0,0.0,0.0,101.43,0.0,0.0,0.0,9.5,0.0,15
77.0,FL,,4,-10.0,IAD,534.0,2012-01-19,112,,,ATL,,N943AT,,0.0,-5.6000000000000005,0.0,0.0,0.0,0.0,102.06,0.0,0.0,0.0,10.0,2.1,11
83.0,MQ,0.0,7,33.0,PNS,530.0,2012-08-12,3483,0.0,2.0,MIA,0.0,N609MQ,33.0,30.6,22.8,1.0,0.0,0.0,1.0,101.85,0.0,1.0,0.0,9.8,2.6,15
207.0,VX,,3,3.0,ORD,1846.0,2012-05-02,202,,,SFO,,N631VA,,10.0,5.0,0.0,0.0,0.0,0.0,101.38,0.0,0.0,0.0,10.0,12.9,7
323.0,US,,6,-2.0,SFO,2296.0,2012-12-08,1445,,,CLT,,N183UW,,17.8,10.0,0.0,0.0,0.0,0.0,101.58,0.0,0.0,0.0,7.0,3.6,18
163.0,B6,,4,-3.0,MCO,1121.0,2012-05-31,945,,,BOS,,N317JB,,23.9,9.4,0.0,0.0,0.0,0.0,100.73,0.0,0.0,0.0,10.0,5.1000000000000005,14
273.0,UA,,3,0.0,EWR,2133.0,2012-05-02,1250,,,PHX,,N11206,,22.8,1.1,0.0,0.0,0.0,0.0,100.64,0.0,0.0,0.0,10.0,2.6,11
92.0,F9,97.0,6,106.0,LAS,628.0,2012-02-11,767,0.0,0.0,DEN,0.0,N202FR,0.0,-13.0,-15.0,1.0,0.0,-1.0,0.0,,1.0,0.0,0.0,4.6,2.6,16
54.0,US,,5,-7.0,BOS,280.0,2012-04-06,715,,,PHL,,N950UW,,11.7,-3.9,0.0,0.0,0.0,0.0,101.55,0.0,0.0,0.0,10.0,4.6000000000000005,17
134.0,UA,,7,4.0,FLL,1065.0,2012-01-22,1701,,,EWR,,N12225,,-6.7,-11.1,0.0,0.0,0.0,0.0,102.81,0.0,0.0,0.0,10.0,6.2,6
247.0,DL,,6,-5.0,ATL,2139.0,2012-07-14,2190,,,SFO,,N126DL,,12.8,9.4,0.0,0.0,0.0,0.0,101.35,0.0,0.0,0.0,9.9,5.7,12
161.0,OO,,1,0.0,SLC,1195.0,2012-01-09,4455,,,IAH,,N633SK,,17.8,16.7,0.0,0.0,4.0,1.0,101.39,0.0,1.0,0.0,5.8,3.6,18
255.0,US,,5,13.0,EWR,2133.0,2012-06-22,687,,,PHX,,N667AW,,35.0,5.0,0.0,0.0,0.0,0.0,100.41,0.0,0.0,0.0,10.0,3.6,8
